"","l2_code","l2_name"
"1",203,"Pashchim Champaran"
"2",204,"Purba Champaran"
"3",205,"Sheohar"
"4",206,"Sitamarhi"
"5",207,"Madhubani"
"6",208,"Supaul"
"7",209,"Araria"
"8",210,"Kishanganj"
"9",211,"Purnia"
"10",212,"Katihar"
"11",213,"Madhepura"
"12",214,"Saharsa"
"13",215,"Darbhanga"
"14",216,"Muzaffarpur"
"15",217,"Gopalganj"
"16",218,"Siwan"
"17",219,"Saran"
"18",220,"Vaishali"
"19",221,"Samastipur"
"20",222,"Begusarai"
"21",223,"Khagaria"
"22",224,"Bhagalpur"
"23",225,"Banka"
"24",226,"Munger"
"25",227,"Lakhisarai"
"26",228,"Sheikhpura"
"27",229,"Nalanda"
"28",230,"Patna"
"29",231,"Bhojpur"
"30",232,"Buxar"
"31",233,"Kaimur (Bhabua)"
"32",234,"Rohtas"
"33",235,"Aurangabad"
"34",236,"Gaya"
"35",237,"Nawada"
"36",238,"Jamui"
"37",239,"Jehanabad"
"38",240,"Arwal"
"39",241,"North  District"
"40",242,"West District"
"41",243,"South District"
"42",244,"East District"
"43",248,"Papum Pare"
"44",250,"West Siang"
"45",251,"East Siang"
"46",253,"Changlang"
"47",254,"Tirap"
"48",258,"Lower Dibang Valley"
"49",259,"Lohit"
"50",260,"Anjaw"
"51",261,"Mon"
"52",262,"Mokokchung"
"53",263,"Zunheboto"
"54",264,"Wokha"
"55",265,"Dimapur"
"56",266,"Phek"
"57",267,"Tuensang"
"58",268,"Longleng"
"59",269,"Kiphire"
"60",270,"Kohima"
"61",271,"Peren"
"62",272,"Senapati"
"63",273,"Tamenglong"
"64",274,"Churachandpur"
"65",275,"Bishnupur"
"66",276,"Thoubal"
"67",277,"Imphal West"
"68",278,"Imphal East"
"69",279,"Ukhrul"
"70",280,"Chandel"
"71",281,"Mamit"
"72",282,"Kolasib"
"73",283,"Aizawl"
"74",284,"Champhai"
"75",285,"Serchhip"
"76",286,"Lunglei"
"77",287,"Lawngtlai"
"78",288,"Saiha"
"79",289,"West Tripura"
"80",290,"South Tripura"
"81",291,"Dhalai"
"82",292,"North Tripura"
"83",293,"West Garo Hills"
"84",294,"East Garo Hills"
"85",295,"South Garo Hills"
"86",296,"West Khasi Hills"
"87",297,"Ribhoi"
"88",298,"East Khasi Hills"
"89",299,"Jaintia Hills"
"90",300,"Kokrajhar"
"91",301,"Dhubri"
"92",302,"Goalpara"
"93",303,"Barpeta"
"94",304,"Morigaon"
"95",305,"Nagaon"
"96",306,"Sonitpur"
"97",307,"Lakhimpur"
"98",308,"Dhemaji"
"99",309,"Tinsukia"
"100",310,"Dibrugarh"
"101",311,"Sivasagar"
"102",312,"Jorhat"
"103",313,"Golaghat"
"104",314,"Karbi Anglong"
"105",315,"Dima Hasao"
"106",316,"Cachar"
"107",317,"Karimganj"
"108",318,"Hailakandi"
"109",319,"Bongaigaon"
"110",320,"Chirang"
"111",321,"Kamrup"
"112",322,"Kamrup Metropolitan"
"113",323,"Nalbari"
"114",324,"Baksa"
"115",325,"Darrang"
"116",326,"Udalguri"
"117",327,"Darjiling"
"118",328,"Jalpaiguri"
"119",329,"Koch Bihar"
"120",330,"Uttar Dinajpur"
"121",331,"Dakshin Dinajpur"
"122",332,"Maldah"
"123",333,"Murshidabad"
"124",334,"Birbhum"
"125",335,"Barddhaman"
"126",336,"Nadia"
"127",337,"North Twenty Four Parganas"
"128",338,"Hugli"
"129",339,"Bankura"
"130",340,"Puruliya"
"131",341,"Haora"
"132",342,"Kolkata"
"133",343,"South Twenty Four Parganas"
"134",344,"Paschim Medinipur"
"135",345,"Purba Medinipur"
"136",10,"Srinagar"
"137",11,"Ganderbal"
"138",12,"Pulwama"
"139",13,"Shupiyan"
"140",14,"Anantnag"
"141",15,"Kulgam"
"142",16,"Doda"
"143",17,"Ramban"
"144",18,"Kishtwar"
"145",19,"Udhampur"
"146",1,"Kupwara"
"147",20,"Reasi"
"148",21,"Jammu"
"149",22,"Samba"
"150",2,"Badgam"
"151",3,"Leh(Ladakh)"
"152",4,"Kargil"
"153",5,"Punch"
"154",6,"Rajouri"
"155",7,"Kathua"
"156",8,"Baramula"
"157",9,"Bandipore"
"158",346,"Garhwa"
"159",347,"Chatra"
"160",348,"Kodarma"
"161",349,"Giridih"
"162",350,"Deoghar"
"163",351,"Godda"
"164",352,"Sahibganj"
"165",353,"Pakur"
"166",354,"Dhanbad"
"167",355,"Bokaro"
"168",356,"Lohardaga"
"169",357,"Purbi Singhbhum"
"170",358,"Palamu"
"171",359,"Latehar"
"172",360,"Hazaribagh"
"173",361,"Ramgarh"
"174",362,"Dumka"
"175",363,"Jamtara"
"176",364,"Ranchi"
"177",365,"Khunti"
"178",366,"Gumla"
"179",367,"Simdega"
"180",368,"Pashchimi Singhbhum"
"181",369,"Saraikela-Kharsawan"
"182",370,"Bargarh"
"183",371,"Jharsuguda"
"184",372,"Sambalpur"
"185",373,"Debagarh"
"186",374,"Sundargarh"
"187",375,"Kendujhar"
"188",376,"Mayurbhanj"
"189",377,"Baleshwar"
"190",378,"Bhadrak"
"191",379,"Kendrapara"
"192",380,"Jagatsinghapur"
"193",381,"Cuttack"
"194",382,"Jajapur"
"195",383,"Dhenkanal"
"196",384,"Anugul"
"197",385,"Nayagarh"
"198",386,"Khordha"
"199",387,"Puri"
"200",388,"Ganjam"
"201",389,"Gajapati"
"202",390,"Kandhamal"
"203",391,"Baudh"
"204",392,"Subarnapur"
"205",393,"Balangir"
"206",394,"Nuapada"
"207",395,"Kalahandi"
"208",396,"Rayagada"
"209",397,"Nabarangapur"
"210",398,"Koraput"
"211",399,"Malkangiri"
"212",400,"Koriya"
"213",401,"Surguja"
"214",402,"Jashpur"
"215",403,"Raigarh"
"216",404,"Korba"
"217",405,"Janjgir - Champa"
"218",406,"Bilaspur"
"219",407,"Kabeerdham"
"220",408,"Rajnandgaon"
"221",409,"Durg"
"222",410,"Raipur"
"223",411,"Mahasamund"
"224",412,"Dhamtari"
"225",413,"Uttar Bastar Kanker"
"226",414,"Bastar"
"227",415,"Narayanpur"
"228",416,"Dakshin Bastar Dantewada"
"229",417,"Bijapur"
"230",418,"Sheopur"
"231",419,"Morena"
"232",420,"Bhind"
"233",421,"Gwalior"
"234",422,"Datia"
"235",423,"Shivpuri"
"236",424,"Tikamgarh"
"237",425,"Chhatarpur"
"238",426,"Panna"
"239",427,"Sagar"
"240",428,"Damoh"
"241",429,"Satna"
"242",430,"Rewa"
"243",431,"Umaria"
"244",432,"Neemuch"
"245",433,"Mandsaur"
"246",434,"Ratlam"
"247",435,"Ujjain"
"248",436,"Shajapur"
"249",437,"Dewas"
"250",438,"Dhar"
"251",439,"Indore"
"252",440,"Khargone (West Nimar)"
"253",441,"Barwani"
"254",442,"Rajgarh"
"255",443,"Vidisha"
"256",444,"Bhopal"
"257",445,"Sehore"
"258",446,"Raisen"
"259",447,"Betul"
"260",448,"Harda"
"261",449,"Hoshangabad"
"262",450,"Katni"
"263",451,"Jabalpur"
"264",452,"Narsimhapur"
"265",453,"Dindori"
"266",454,"Mandla"
"267",455,"Chhindwara"
"268",456,"Seoni"
"269",457,"Balaghat"
"270",458,"Guna"
"271",459,"Ashoknagar"
"272",460,"Shahdol"
"273",461,"Anuppur"
"274",462,"Sidhi"
"275",463,"Singrauli"
"276",464,"Jhabua"
"277",465,"Alirajpur"
"278",466,"Khandwa (East Nimar)"
"279",467,"Burhanpur"
"280",468,"Kachchh"
"281",469,"Banas Kantha"
"282",470,"Patan"
"283",471,"Mahesana"
"284",472,"Sabar Kantha"
"285",473,"Gandhinagar"
"286",474,"Ahmadabad"
"287",475,"Surendranagar"
"288",476,"Rajkot"
"289",477,"Jamnagar"
"290",478,"Porbandar"
"291",479,"Junagadh"
"292",480,"Amreli"
"293",481,"Bhavnagar"
"294",482,"Anand"
"295",483,"Kheda"
"296",484,"Panch Mahals"
"297",485,"Dohad"
"298",486,"Vadodara"
"299",487,"Narmada"
"300",488,"Bharuch"
"301",489,"The Dangs"
"302",490,"Navsari"
"303",491,"Valsad"
"304",492,"Surat"
"305",493,"Tapi"
"306",494,"Diu"
"307",495,"Daman"
"308",496,"Dadra & Nagar Haveli"
"309",497,"Nandurbar"
"310",498,"Dhule"
"311",499,"Jalgaon"
"312",500,"Buldana"
"313",501,"Akola"
"314",502,"Washim"
"315",503,"Amravati"
"316",504,"Wardha"
"317",505,"Nagpur"
"318",506,"Bhandara"
"319",507,"Gondiya"
"320",508,"Gadchiroli"
"321",509,"Chandrapur"
"322",510,"Yavatmal"
"323",511,"Nanded"
"324",512,"Hingoli"
"325",513,"Parbhani"
"326",514,"Jalna"
"327",515,"Aurangabad"
"328",516,"Nashik"
"329",517,"Thane"
"330",518,"Mumbai Suburban"
"331",519,"Mumbai"
"332",520,"Raigarh"
"333",521,"Pune"
"334",522,"Ahmadnagar"
"335",523,"Bid"
"336",524,"Latur"
"337",525,"Osmanabad"
"338",526,"Solapur"
"339",527,"Satara"
"340",528,"Ratnagiri"
"341",529,"Sindhudurg"
"342",530,"Kolhapur"
"343",531,"Sangli"
"344",532,"Adilabad"
"345",533,"Nizamabad"
"346",534,"Karimnagar"
"347",535,"Medak"
"348",536,"Hyderabad"
"349",537,"Rangareddy"
"350",538,"Mahbubnagar"
"351",539,"Nalgonda"
"352",540,"Warangal"
"353",541,"Khammam"
"354",542,"Srikakulam"
"355",543,"Vizianagaram"
"356",544,"Visakhapatnam"
"357",545,"East Godavari"
"358",546,"West Godavari"
"359",547,"Krishna"
"360",548,"Guntur"
"361",549,"Prakasam"
"362",550,"Sri Potti Sriramulu Nellore"
"363",551,"Y.S.R."
"364",552,"Kurnool"
"365",553,"Anantapur"
"366",554,"Chittoor"
"367",555,"Belgaum"
"368",556,"Bagalkot"
"369",557,"Bijapur"
"370",558,"Bidar"
"371",559,"Raichur"
"372",560,"Koppal"
"373",561,"Gadag"
"374",562,"Dharwad"
"375",563,"Uttara Kannada"
"376",564,"Haveri"
"377",565,"Bellary"
"378",566,"Chitradurga"
"379",567,"Davanagere"
"380",568,"Shimoga"
"381",569,"Udupi"
"382",570,"Chikmagalur"
"383",571,"Tumkur"
"384",572,"Bangalore"
"385",573,"Mandya"
"386",574,"Hassan"
"387",575,"Dakshina Kannada"
"388",576,"Kodagu"
"389",577,"Mysore"
"390",578,"Chamarajanagar"
"391",579,"Gulbarga"
"392",580,"Yadgir"
"393",581,"Kolar"
"394",582,"Chikkaballapura"
"395",583,"Bangalore Rural"
"396",584,"Ramanagara"
"397",23,"Chamba"
"398",24,"Kangra"
"399",25,"Lahul & Spiti"
"400",26,"Kullu"
"401",27,"Mandi"
"402",28,"Hamirpur"
"403",29,"Una"
"404",30,"Bilaspur"
"405",31,"Solan"
"406",32,"Sirmaur"
"407",33,"Shimla"
"408",34,"Kinnaur"
"409",585,"North Goa"
"410",586,"South Goa"
"411",587,"Lakshadweep"
"412",588,"Kasaragod"
"413",589,"Kannur"
"414",590,"Wayanad"
"415",591,"Kozhikode"
"416",592,"Malappuram"
"417",593,"Palakkad"
"418",594,"Thrissur"
"419",595,"Ernakulam"
"420",596,"Idukki"
"421",597,"Kottayam"
"422",598,"Alappuzha"
"423",599,"Pathanamthitta"
"424",600,"Kollam"
"425",601,"Thiruvananthapuram"
"426",602,"Thiruvallur"
"427",603,"Chennai"
"428",604,"Kancheepuram"
"429",605,"Vellore"
"430",606,"Tiruvannamalai"
"431",607,"Viluppuram"
"432",608,"Salem"
"433",609,"Namakkal"
"434",610,"Erode"
"435",611,"The Nilgiris"
"436",612,"Dindigul"
"437",613,"Karur"
"438",614,"Tiruchirappalli"
"439",615,"Perambalur"
"440",616,"Ariyalur"
"441",617,"Cuddalore"
"442",618,"Nagapattinam"
"443",619,"Thiruvarur"
"444",620,"Thanjavur"
"445",621,"Pudukkottai"
"446",622,"Sivaganga"
"447",623,"Madurai"
"448",624,"Theni"
"449",625,"Virudhunagar"
"450",626,"Ramanathapuram"
"451",627,"Thoothukkudi"
"452",628,"Tirunelveli"
"453",629,"Kanniyakumari"
"454",630,"Dharmapuri"
"455",631,"Krishnagiri"
"456",632,"Coimbatore"
"457",633,"Tiruppur"
"458",634,"Yanam"
"459",635,"Puducherry"
"460",636,"Mahe"
"461",637,"Karaikal"
"462",638,"Nicobars"
"463",639,"North  & Middle Andaman"
"464",640,"South Andaman"
"465",35,"Gurdaspur"
"466",36,"Kapurthala"
"467",37,"Jalandhar"
"468",38,"Hoshiarpur"
"469",39,"Shahid Bhagat Singh Nagar"
"470",40,"Fatehgarh Sahib"
"471",41,"Ludhiana"
"472",42,"Moga"
"473",43,"Firozpur"
"474",44,"Muktsar"
"475",45,"Faridkot"
"476",46,"Bathinda"
"477",47,"Mansa"
"478",48,"Patiala"
"479",49,"Amritsar"
"480",50,"Tarn Taran"
"481",51,"Rupnagar"
"482",52,"Sahibzada Ajit Singh Nagar"
"483",53,"Sangrur"
"484",54,"Barnala"
"485",55,"Chandigarh"
"486",56,"Uttarkashi"
"487",57,"Chamoli"
"488",58,"Rudraprayag"
"489",59,"Tehri Garhwal"
"490",60,"Dehradun"
"491",61,"Garhwal"
"492",62,"Pithoragarh"
"493",63,"Bageshwar"
"494",64,"Almora"
"495",65,"Champawat"
"496",66,"Nainital"
"497",67,"Udham Singh Nagar"
"498",68,"Hardwar"
"499",69,"Panchkula"
"500",70,"Ambala"
"501",71,"Yamunanagar"
"502",72,"Kurukshetra"
"503",73,"Kaithal"
"504",74,"Karnal"
"505",75,"Panipat"
"506",76,"Sonipat"
"507",77,"Jind"
"508",78,"Fatehabad"
"509",79,"Sirsa"
"510",80,"Hisar"
"511",81,"Bhiwani"
"512",82,"Rohtak"
"513",83,"Jhajjar"
"514",84,"Mahendragarh"
"515",85,"Rewari"
"516",86,"Gurgaon"
"517",87,"Mewat"
"518",88,"Faridabad"
"519",89,"Palwal"
"520",90,"North West"
"521",91,"North"
"522",92,"North East"
"523",93,"East"
"524",94,"New Delhi"
"525",95,"Central"
"526",96,"West"
"527",97,"South West"
"528",98,"South"
"529",100,"Hanumangarh"
"530",101,"Bikaner"
"531",102,"Churu"
"532",103,"Jhunjhunun"
"533",104,"Alwar"
"534",105,"Bharatpur"
"535",106,"Dhaulpur"
"536",107,"Karauli"
"537",108,"Sawai Madhopur"
"538",109,"Dausa"
"539",110,"Jaipur"
"540",111,"Sikar"
"541",112,"Nagaur"
"542",113,"Jodhpur"
"543",114,"Jaisalmer"
"544",115,"Barmer"
"545",116,"Jalor"
"546",117,"Sirohi"
"547",118,"Pali"
"548",119,"Ajmer"
"549",120,"Tonk"
"550",121,"Bundi"
"551",122,"Bhilwara"
"552",123,"Rajsamand"
"553",124,"Dungarpur"
"554",125,"Banswara"
"555",126,"Chittaurgarh"
"556",127,"Kota"
"557",128,"Baran"
"558",129,"Jhalawar"
"559",130,"Udaipur"
"560",131,"Pratapgarh"
"561",99,"Ganganagar"
"562",132,"Saharanpur"
"563",133,"Muzaffarnagar"
"564",134,"Bijnor"
"565",135,"Moradabad"
"566",136,"Rampur"
"567",137,"Jyotiba Phule Nagar"
"568",138,"Meerut"
"569",139,"Baghpat"
"570",140,"Ghaziabad"
"571",141,"Gautam Buddha Nagar"
"572",142,"Bulandshahr"
"573",143,"Aligarh"
"574",144,"Mahamaya Nagar"
"575",145,"Mathura"
"576",146,"Agra"
"577",147,"Firozabad"
"578",148,"Mainpuri"
"579",149,"Budaun"
"580",150,"Bareilly"
"581",151,"Pilibhit"
"582",152,"Shahjahanpur"
"583",153,"Kheri"
"584",154,"Sitapur"
"585",155,"Hardoi"
"586",156,"Unnao"
"587",157,"Lucknow"
"588",158,"Rae Bareli"
"589",159,"Farrukhabad"
"590",160,"Kannauj"
"591",161,"Etawah"
"592",162,"Auraiya"
"593",163,"Kanpur Dehat"
"594",164,"Kanpur Nagar"
"595",165,"Jalaun"
"596",166,"Jhansi"
"597",167,"Lalitpur"
"598",168,"Hamirpur"
"599",169,"Mahoba"
"600",170,"Banda"
"601",171,"Chitrakoot"
"602",172,"Fatehpur"
"603",173,"Pratapgarh"
"604",174,"Kaushambi"
"605",175,"Allahabad"
"606",176,"Bara Banki"
"607",177,"Faizabad"
"608",178,"Ambedkar Nagar"
"609",179,"Sultanpur"
"610",180,"Bahraich"
"611",181,"Shrawasti"
"612",182,"Balrampur"
"613",183,"Gonda"
"614",184,"Siddharthnagar"
"615",185,"Basti"
"616",186,"Sant Kabir Nagar"
"617",187,"Mahrajganj"
"618",188,"Gorakhpur"
"619",189,"Kushinagar"
"620",190,"Deoria"
"621",191,"Azamgarh"
"622",192,"Mau"
"623",193,"Ballia"
"624",194,"Jaunpur"
"625",195,"Ghazipur"
"626",196,"Chandauli"
"627",197,"Varanasi"
"628",198,"Sant Ravidas Nagar (Bhadohi)"
"629",199,"Mirzapur"
"630",200,"Sonbhadra"
"631",201,"Etah"
"632",202,"Kanshiram Nagar"
